en	zh
CHINA EASTERN five one zero seven pushback and start up approved runway three six left facing south	东航 五幺洞拐 推回和启动获批 跑道三六左转 面向南方
AIR BUSAN three two one contact tower one one eight decimal one good day	釜山航空 三两幺 联系塔台 幺幺八点幺 日安
STAR	STAR
er copy CHINA EASTERN five four zero five	收到 东航 五四洞五
taxi via MIKE four DELTA hold short of DELTA one six CHINA EASTERN five one one nine	滑行经过 MIKE 四 DELTA 等待 DELTA 幺六 东航 五幺幺九
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
HAINAN seven	海南航空 拐
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
NAV	导航
two four zero	两四洞
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
ASIANA three six two contact apron one two one decimal nine seven	亚航 三六两 联系 幺两幺点九拐五
say again CATHAY two four nine	请再说一遍 国泰航空 两四九
JUNEYAO one zero five eight	吉祥航空 幺洞五八
runway track	跑道
one two nine	幺两九
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
GUANGZHOU tower JAPAN AIR eight one , six miles final runway three six right	广州塔 日本航空 八幺 , 六英里 最终接近 跑道 三六 右
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
OK HOTEL four hold short runway three six right due to traffic AIR MACAU one two seven	好的 HOTEL 四 等待跑道 三六 右 由于交通 澳门航空 幺两拐
NAV	导航
MIKE SIERRA SIERRA ZULU SIERRA ZULU HONGQIAO tower HOTEL four hold short of runway three six right due traffic	MIKE SIERRA ZULU HONGQIAO 塔台 HOTEL 四 等待跑道 三六 右 由于交通
runway track	跑道
one one eight	幺幺八
CATHAY three six seven	国泰 三六拐
NAV	导航
one two one decimal nine good day CHINA EASTERN five one six three	幺两幺点九 日安 东航 五幺六三
roger remain this frequency KOREAN AIR eight nine eight	收到 保持这个频率 韩亚航空 八九八
go ahead EMIRATES nine eight seven five	请讲 阿联酋航空 九八拐五
left turn BRAVO hold short HOTEL six MIKE SIERRA ZULU	向左转 BRAVO 等待 HOTEL 六 MIKE SIERRA ZULU
CHINA EASTERN five one zero seven contact ground one two one decimal nine good day	东航 五幺洞拐 联系地面 幺两幺点九 日安
thank YOU we are stand by	谢谢 我们待命
DELTA YANKEE one follow follow-me parking bay two two six AIR JUNEYAO one zero eight eight	DELTA Y幺 跟随引导车 停机位 两两六 吉祥航空 幺洞八八
nine five zero	九五洞
NAV	导航
EASTAR JET eight seven two apron pushback and start up approved runway three four left	东星航空 八拐两 在停机坪 推回和启动获批 跑道 三四 左
er BAUHINIA two three seven do we have the time for us to push BAUHINIA two three seven	确认 BAUHINIA 两三拐 我们有推回的时间吗
CHINA SOUTHERN good day	南方航空 日安
zero six	零六
check	检查
er we can accept take off ASIANA three six four	我们能接受起飞 亚航 三六四
continue taxi DELTA hold short DELTA one six HAINAN seven six zero six	继续滑行 DELTA 等待 DELTA 幺六 海南 拐六洞六
CHINA EASTERN five one two one tug ready	东航 五幺两幺 拖车准备好了
correction AIR SPRING eight	更正 春秋航空 八
NAV	导航
land	着陆
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
SENDI six five two seven	SENDI 六五两拐
CHINA EASTERN five three zero eight taxi via BRAVO hold short HOTEL two contact tower one one eight decimal six five good day	东航 五三洞八 通过 BRAVO 等待 HOTEL 两 联系塔台 幺幺八点六五 日安
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
one two one nine seven five CATHAY three six three	幺两幺点九拐五 国泰航空 三六三
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
four ASIANA three two one	四 亚航 三两幺
PUDONG delivery CATHAY three six five	浦东调度 国泰航空 三六五
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
one zero zero five	幺洞洞五
pushback and start up approved runway three six left AIR JUNEYAO one two zero nine	推回和启动获批 跑道三六左转 东航 幺两洞九
CHINA EASTERN five one one one surface wind zero four zero degrees at three meter per second runway three six left clear for take off	东航 五幺幺幺 表面风速 洞四洞° 每秒 三 米 跑道 三六 左 清晰起飞
ASIANA three six six STAY with me traffic	亚航 三六六 待命 交通
taxi via DELTA parking bay two six five CHINA EASTERN five one four four	滑行经过 DELTA 停机位 两六五 东航 五幺四四
ASIANA three six six wind zero five zero one six minutes per second can YOU accept it for take	亚航 三六六 风速 五洞° 每秒 幺六 米 你能接受起飞吗
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
see YOU later	再见
clear to cross runway three six KOREAN AIR three one zero three	穿越跑道 三六 韩亚航空 三幺洞三
one two one nine seven five thank YOU	幺两幺点九拐五 谢谢你
AIR SPRING eight five nine zero HONGQIAO tower good evening HOTEL four hold short of runway three six right due to traffic	春秋航空 八五九洞 虹桥塔台 晚安 HOTEL 四 等待跑道 三六 右 由于交通
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
PAKISTAN	巴基斯坦
CHINA EASTERN five one four four contact tower one one eight decimal six five good day	东航 五幺四四 联系塔台 幺幺八点六五 日安
NAV	导航
ALT STAR	ALT STAR
apron CHINA EASTERN five one one one how long we will wait for	机坪 东航 五幺幺幺 我们还要等多久
JUNEYAO one zero one two	吉祥航空 幺洞幺两
CHINA EASTERN five three five three contact ground one two one decimal nine good day	东航 五三五三 联系地面 幺两幺点九 日安
<ONE-HUNDRED>	<ONE-HUNDRED>
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
CHINA EASTERN five three zero eight apron taxi via DELTA seven YANKEE one follow follow-me car parking bay two three , two one three	东航 五三洞八 机坪 滑行经过 DELTA 拐 Y幺 跟随引导车 停机位 两三 , 两幺三
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
KOREAN AIR seven six zero	韩亚航空 拐六洞
zero one one	洞洞幺
CHINA EASTERN five one one four apron hold short DELTA one one	东航 五幺幺四 机坪 等待 DELTA 幺幺
OK HOTEL four hold short of BRAVO thank YOU sir	好的 HOTEL 四 等待 BRAVO 谢谢您
D H seven hold short of ILS	D H 拐 等待 ILS
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
涓滄柟浜?CHINA EASTERN five one four four turn left vacate taxi via BRAVO hold short HOTEL two	东航 五幺四四 向左转 滑行 通过 BRAVO 等待 HOTEL 两
one two one nine seven five bye bye AUSTRIAN seven six	幺两幺点九拐五 再见 奥地利航空 拐六
er roger	收到
er tower good evening CHINA EASTERN five one four four PDC is on BRAVO	塔台 晚安 东航 五幺四四 PDC 在 BRAVO
pushback and start is approved runway three six left CHINA EASTERN five one six three	推回和启动获批 跑道三六左转 东航 五幺六三
鍚夌ゥ er correction AIR JUNEYAO one zero eight five contact ground one two one decimal seven five good day	更正 吉祥航空 幺洞八五 联系地面 幺两幺点拐五 日安
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
er roger stand by I will call YOU again	收到 待命 我会再联系你
<THIRTY>	<THIRTY>
<FOUR-HUNDRED>	<FOUR-HUNDRED>
NAV	导航
BIG BIRD eight five nine	BIG BIRD 八五九
land	着陆
er BAUHINIA two three seven any up bay please	确认 BAUHINIA 两三拐 任何可用停机位
standard	标准
CATHAY three six seven	国泰航空 三六拐
zero four hold short of runway three five right	洞四 等待跑道 三五 右
CHINA EASTERN five one six two cross runway three six left turn left CHARLIE	东航 五幺六两 穿越跑道 三六 左 左转 CHARLIE
runway track	跑道
one two six six five JAPAN AIR eight one	幺两幺点六五 日本航空 八幺
SHANGHAI 浣犲ソ VIETNAM five three one	上海 越南航空 五三幺
CHINA EASTERN five one two three taxi via MIKE three DELTA hold short DELTA one six	东航 五幺两三 滑行经过 MIKE 三 DELTA 等待 DELTA 幺六
ASIANA three	亚航 三
climb	爬升
CHINA EASTERN two four zero six HONGQIAO apron taxi via DELTA YANKEE one follow follow-me car stand two three one	东航 两四洞六 虹桥 机坪 滑行经过 DELTA Y幺 跟随引导车 停机位 两三幺
AIR SPRING eight five nine zero turn left turn left taxi via BRAVO hold short HOTEL six	春秋航空 八五九洞 向左转 滑行 通过 BRAVO 等待 HOTEL 六
zero one one	洞洞幺
er BAUHINIA two three seven the delay is not the tow me	确认 BAUHINIA 两三拐 延误不是拖车
how long more delay do YOU	你还需要多久的延误
one two one seven five AIR JUNEYAO one zero eight five good day	幺两幺点拐五 吉祥航空 幺洞八五 日安
<THIRTY>	<THIRTY>
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
er one one three zero three AIR MACAU one three eight	确认 幺幺三洞三 澳门航空 幺三八
<FIVE>	<FIVE>
NAV	导航
CAPITAL JET five two two eight contact approach approach contact tower one one eight decimal six five good day	首都航空 五两两八 联系进近 接近 联系塔台 幺幺八点六五 日安
LUFTHANSA seven two nine can er confirm YOU accept take off in have A tower	汉莎航空 拐两九 确认你能接受起飞 现在有塔台
D H seven hold short of ILS	D H 拐 等待 ILS
apron ASIANA three six six how long we to push	机坪 亚航 三六六 我们还要多久推回
NAV	导航
one two one decimal nine five	幺两幺点九五
D H seven hold short of ILS	D H 拐 等待 ILS
zero one one	洞洞幺
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
delivery AIR JUNEYAO one two one one can we pushback now	调度 东航 幺两幺幺 我们现在可以推回吗
runway	跑道
one two one decimal two	幺两幺点两
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
one one eight six five CATHAY three four nine good day	幺幺八点六五 国泰航空 三四九 日安
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
PUDONG apron KOREAN AIR eight nine eight heavy parking bay two zero information CHARLIE request pushback and start up	浦东 机坪 韩亚航空 八九八 重型 停机位 两洞 信息 CHARLIE 请求推回和启动
PHILIPPINE three three	菲律宾航空 三三
er copy EVA six seven five	收到 EVA 六拐五
standing by THAI six six	待命 泰航 六六
SCOOTER one zero seven	SCOOTER 幺洞拐
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
contact tower one one eight decimal four five good day	联系塔台 幺幺八点四五 日安
BAUHINIA two four one roger stand by I will call	BAUHINIA 两四幺 收到 待命 我会联系
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
standby AIR JUNEYAO one two zero nine	待命 东航 幺两洞九
runway heading nine hundred meters JAPAN AIR eight one	跑道方向 九洞洞 米 日本航空 八幺
tower good evening CHINA EASTERN five three zero taxi BRAVO	塔台 晚安 东航 五三洞 通过 BRAVO
four five one three contact tower one one eight	四五幺三 联系塔台 幺幺八
one two one decimal two	幺两幺点两
CHINA EASTERN five five one five continue taxi DELTA hold short DELTA one six	东航 五五幺五 继续滑行 DELTA 等待 DELTA 幺六
<ENGINE>	<ENGINE>
EMIRATES nine eight seven five how much	阿联酋 九八拐五 多少
AIR JUNEYAO one two one two surface wind three five zero degree nine meters per second runway three six right clear to land	吉祥航空 幺两幺两 表面风速 三五洞° 每秒 九 米 跑道 三六 右 清晰着陆
<FIVE>	<FIVE>
CHINA EASTERN five five one	东航 五五幺
